artist,album,date,dow,y_release,y_control,delta_local
Taylor Swift,Midnights,2022-10-21,Friday,132,128.65,3.3499999999999943
Drake,Certified Lover Boy,2021-09-03,Friday,145,132.95,12.050000000000011
Bad Bunny,Un Verano Sin Ti,2022-05-06,Friday,133,115.4,17.599999999999994
Drake,Scorpion,2018-06-29,Friday,134,103.55,30.450000000000003
Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,Friday,147,117.25,29.75
Kanye West,Donda,2021-08-29,Sunday,142,131.3,10.699999999999989
Taylor Swift,Red (Taylor's Version),2021-11-12,Friday,156,122.8,33.2
Taylor Swift,Folklore,2020-07-24,Friday,143,121.15,21.849999999999994
Harry Styles,Harry's House,2022-05-20,Friday,133,121.7,11.299999999999997
Drake & 21 Savage,Her Loss,2022-11-04,Friday,184,124.5,59.5
